local_hour,region,NO2,OZONE,PM2.5
2024-12-04 00:00:00,manhattan,29.0,23.5,16.8
2024-12-04 00:00:00,queens,,24.0,15.0
2024-12-04 00:00:00,staten_island,27.0,,19.333333333333332
2024-12-04 01:00:00,bronx,,20.0,17.666666666666668
2024-12-04 01:00:00,brooklyn,,,16.666666666666668
2024-12-04 01:00:00,manhattan,22.0,19.0,19.4
2024-12-04 01:00:00,queens,,24.0,16.333333333333332
2024-12-04 01:00:00,staten_island,25.0,,20.666666666666668
2024-12-04 02:00:00,bronx,,19.5,17.666666666666668
2024-12-04 02:00:00,brooklyn,,,18.333333333333332
2024-12-04 02:00:00,manhattan,29.0,18.0,18.2
2024-12-04 02:00:00,queens,,19.0,17.0
2024-12-04 02:00:00,staten_island,25.0,,23.0
2024-12-04 03:00:00,bronx,,19.0,19.0
2024-12-04 03:00:00,brooklyn,,,22.666666666666668
2024-12-04 03:00:00,manhattan,28.0,17.0,18.8
2024-12-04 03:00:00,queens,,16.0,19.666666666666668
2024-12-04 03:00:00,staten_island,25.0,,23.333333333333332
2024-12-04 04:00:00,bronx,,15.0,22.0
2024-12-04 04:00:00,brooklyn,,,29.0
2024-12-04 04:00:00,manhattan,34.0,13.0,22.6
2024-12-04 04:00:00,queens,,9.0,25.666666666666668
2024-12-04 04:00:00,staten_island,25.0,,25.333333333333332
2024-12-04 05:00:00,bronx,,10.5,27.0
2024-12-04 05:00:00,brooklyn,,,34.666666666666664
2024-12-04 05:00:00,manhattan,35.0,9.5,28.4
2024-12-04 05:00:00,queens,,6.0,31.0
2024-12-04 05:00:00,staten_island,28.0,,29.333333333333332
2024-12-04 06:00:00,bronx,,7.5,33.666666666666664
2024-12-04 06:00:00,brooklyn,,,43.666666666666664
2024-12-04 06:00:00,manhattan,42.0,7.0,34.0
2024-12-04 06:00:00,queens,,4.0,39.333333333333336
2024-12-04 06:00:00,staten_island,28.0,,35.0
2024-12-04 07:00:00,bronx,,7.0,39.666666666666664
2024-12-04 07:00:00,brooklyn,,,51.0
2024-12-04 07:00:00,manhattan,42.0,7.5,40.6
2024-12-04 07:00:00,queens,,4.0,45.333333333333336
2024-12-04 07:00:00,staten_island,24.0,,43.333333333333336
2024-12-04 08:00:00,bronx,,8.0,44.333333333333336
2024-12-04 08:00:00,brooklyn,,,52.666666666666664
2024-12-04 08:00:00,manhattan,33.0,7.0,41.4
2024-12-04 08:00:00,queens,,4.0,53.0
2024-12-04 08:00:00,staten_island,20.0,,40.666666666666664
2024-12-04 09:00:00,bronx,,7.5,50.666666666666664
2024-12-04 09:00:00,brooklyn,,,54.0
2024-12-04 09:00:00,manhattan,29.0,6.0,46.2
2024-12-04 09:00:00,queens,,6.0,-296.6666666666667
2024-12-04 09:00:00,staten_island,16.0,,43.0
2024-12-04 10:00:00,bronx,,7.0,50.666666666666664
2024-12-04 10:00:00,brooklyn,,,52.333333333333336
2024-12-04 10:00:00,manhattan,28.0,7.5,50.0
2024-12-04 10:00:00,queens,,10.0,53.333333333333336
2024-12-04 10:00:00,staten_island,20.0,,46.0
2024-12-04 11:00:00,bronx,,10.0,45.666666666666664
2024-12-04 11:00:00,brooklyn,,,48.0
2024-12-04 11:00:00,manhattan,22.0,10.5,46.2
2024-12-04 11:00:00,queens,,13.0,48.333333333333336
2024-12-04 11:00:00,staten_island,21.0,,45.666666666666664
2024-12-04 12:00:00,bronx,,12.5,43.0
2024-12-04 12:00:00,brooklyn,,,44.333333333333336
2024-12-04 12:00:00,manhattan,14.0,11.5,43.0
2024-12-04 12:00:00,queens,,16.0,44.666666666666664
2024-12-04 12:00:00,staten_island,21.0,,44.333333333333336
2024-12-04 13:00:00,bronx,,13.0,41.333333333333336
2024-12-04 13:00:00,brooklyn,,,41.666666666666664
2024-12-04 13:00:00,manhattan,12.0,12.5,41.0
2024-12-04 13:00:00,queens,,18.0,42.333333333333336
2024-12-04 13:00:00,staten_island,24.0,,41.0
2024-12-04 14:00:00,bronx,,11.0,39.0
2024-12-04 14:00:00,brooklyn,,,37.333333333333336
2024-12-04 14:00:00,manhattan,12.0,13.5,38.8
2024-12-04 14:00:00,queens,,19.0,39.0
2024-12-04 14:00:00,staten_island,23.0,,37.0
2024-12-04 15:00:00,bronx,,14.0,34.666666666666664
2024-12-04 15:00:00,brooklyn,,,32.0
2024-12-04 15:00:00,manhattan,17.0,13.5,34.2
2024-12-04 15:00:00,queens,,18.0,35.0
2024-12-04 15:00:00,staten_island,22.0,,30.333333333333332
2024-12-04 16:00:00,bronx,,14.5,33.666666666666664
2024-12-04 16:00:00,brooklyn,,,32.0
2024-12-04 16:00:00,manhattan,15.0,13.0,32.8
2024-12-04 16:00:00,queens,,19.0,35.333333333333336
2024-12-04 16:00:00,staten_island,16.0,,27.666666666666668
2024-12-04 17:00:00,bronx,,15.0,29.0
2024-12-04 17:00:00,brooklyn,,,28.666666666666668
2024-12-04 17:00:00,manhattan,9.0,16.0,25.2
2024-12-04 17:00:00,queens,,20.0,31.0
2024-12-04 17:00:00,staten_island,22.0,,30.0
2024-12-04 18:00:00,bronx,,15.5,31.0
2024-12-04 18:00:00,brooklyn,,,31.0
2024-12-04 18:00:00,manhattan,11.0,15.5,25.4
2024-12-04 18:00:00,queens,,20.0,33.0
2024-12-04 18:00:00,staten_island,17.0,,31.5
2024-12-04 19:00:00,bronx,,14.5,32.0
2024-12-04 19:00:00,brooklyn,,,32.0
2024-12-04 19:00:00,manhattan,8.0,15.0,28.0
2024-12-04 19:00:00,queens,,20.0,33.666666666666664
2024-12-04 19:00:00,staten_island,16.0,,31.0
2024-12-04 20:00:00,bronx,,17.5,29.666666666666668
2024-12-04 20:00:00,brooklyn,,,31.0
2024-12-04 20:00:00,manhattan,7.0,18.0,29.4
2024-12-04 20:00:00,queens,,22.0,32.333333333333336
